model,condition,modal_value,p_mode,coverage,coverage_frac,tv,mean,std,ks_stat,ks_p
gpt-5.4,R1_int100,73,0.11,59/100,0.59,0.53,,,,
gpt-5.4,R2_int10,7,0.72,9/10,0.9,0.62,,,,
gpt-5.4,R3_float,,,,,,0.5387934640852293,0.11330902097467364,0.3668429516,1.2191415094636935e-24
gpt-5.4,R4_coin,T,0.675,2/2,1.0,0.17500000000000002,,,,
gpt-5.4,R5_letter,Q,0.96,4/26,0.15384615384615385,0.9215384615384616,,,,
claude-sonnet-4.5,R1_int100,47,1.0,1/100,0.01,0.99,,,,
claude-sonnet-4.5,R2_int10,7,1.0,1/10,0.1,0.9000000000000001,,,,
claude-sonnet-4.5,R3_float,,,,,,0.4563898768293571,0.05207425732609799,0.48129999999999995,3.825464713163746e-43
claude-sonnet-4.5,R4_coin,T,1.0,1/2,0.5,0.5,,,,
claude-sonnet-4.5,R5_letter,M,0.965,2/26,0.07692307692307693,0.9265384615384616,,,,
llama-3.3-70b,R1_int100,53,0.89,4/100,0.04,0.9600000000000001,,,,
llama-3.3-70b,R2_int10,8,0.56,2/10,0.2,0.8,,,,
llama-3.3-70b,R3_float,,,,,,0.7198851736108025,0.1528143836954319,0.45399999999999996,3.5362923055470133e-38
llama-3.3-70b,R4_coin,H,0.8375634517766497,2/2,1.0,0.3375634517766497,,,,
llama-3.3-70b,R5_letter,J,1.0,1/26,0.038461538461538464,0.9615384615384617,,,,
gemini-3-flash,R1_int100,42,0.91,8/100,0.08,0.9450000000000001,,,,
gemini-3-flash,R2_int10,7,0.955,2/10,0.2,0.8550000000000001,,,,
gemini-3-flash,R3_float,,,,,,0.6161626875722405,0.10843360389763518,0.4032,7.100463784415857e-30
gemini-3-flash,R4_coin,H,0.525,2/2,1.0,0.025000000000000022,,,,
gemini-3-flash,R5_letter,Q,0.67,14/26,0.5384615384615384,0.7196153846153848,,,,
deepseek-chat,R1_int100,1,0.33,18/100,0.18,0.85,,,,
deepseek-chat,R2_int10,7,0.745,7/10,0.7,0.71,,,,
deepseek-chat,R3_float,,,,,,0.6189977075981832,0.11136272082837634,0.412,3.1424608737625563e-31
deepseek-chat,R4_coin,H,0.9333333333333333,2/2,1.0,0.43333333333333335,,,,
deepseek-chat,R5_letter,H,0.37,18/26,0.6923076923076923,0.6076923076923079,,,,
