model,hf,kind,task,condition,n,n_valid,parse_fail,counts,tv,p_mode,seed
llama31-base,meta-llama/Llama-3.1-8B,base,point_5,V0,200,198,2,"{""5"": 195, ""4"": 1, ""1"": 2}",0.0151515151515151,0.9848484848484848,13
llama31-base,meta-llama/Llama-3.1-8B,base,point_5,V8,10,199,0,"{""5"": 199}",0.0,1.0,13
llama31-base,meta-llama/Llama-3.1-8B,base,uniform_digit,V0,200,194,6,"{""4"": 47, ""3"": 41, ""2"": 50, ""5"": 32, ""1"": 24}",0.1113402061855669,0.2577319587628865,13
llama31-base,meta-llama/Llama-3.1-8B,base,uniform_digit,V8,10,161,2,"{""1"": 35, ""2"": 35, ""3"": 34, ""4"": 33, ""5"": 24}",0.0509316770186335,0.217391304347826,13
llama31-base,meta-llama/Llama-3.1-8B,base,fair_coin,V0,200,200,0,"{""H"": 109, ""T"": 91}",0.045,0.545,13
llama31-base,meta-llama/Llama-3.1-8B,base,fair_coin,V8,10,180,1,"{""H"": 91, ""T"": 89}",0.0055555555555555,0.5055555555555555,13
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_binary,V0,200,199,1,"{""alpha"": 109, ""beta"": 90}",0.1522613065326633,0.5477386934673367,13
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_binary,V8,10,179,1,"{""alpha"": 138, ""beta"": 41}",0.070949720670391,0.770949720670391,13
llama31-base,meta-llama/Llama-3.1-8B,base,bimodal_5way,V0,200,199,1,"{""1"": 58, ""3"": 22, ""4"": 35, ""2"": 48, ""5"": 36}",0.3276381909547738,0.2914572864321608,13
llama31-base,meta-llama/Llama-3.1-8B,base,bimodal_5way,V8,10,180,1,"{""1"": 73, ""2"": 43, ""5"": 45, ""4"": 14, ""3"": 5}",0.1722222222222222,0.4055555555555555,13
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_5way,V0,200,199,1,"{""4"": 37, ""3"": 40, ""2"": 59, ""5"": 24, ""1"": 39}",0.3040201005025126,0.2964824120603015,13
llama31-base,meta-llama/Llama-3.1-8B,base,skewed_5way,V8,10,179,1,"{""1"": 78, ""2"": 55, ""3"": 19, ""4"": 16, ""5"": 11}",0.1134078212290502,0.435754189944134,13
llama31-base,meta-llama/Llama-3.1-8B,base,point_5,V0,200,199,1,"{""5"": 198, ""2"": 1}",0.0050251256281407,0.9949748743718592,47
llama31-base,meta-llama/Llama-3.1-8B,base,point_5,V8,10,200,0,"{""5"": 200}",0.0,1.0,47
llama31-base,meta-llama/Llama-3.1-8B,base,uniform_digit,V0,200,198,2,"{""4"": 51, ""2"": 42, ""5"": 20, ""3"": 61, ""1"": 24}",0.1777777777777777,0.308080808080808,47
llama31-base,meta-llama/Llama-3.1-8B,base,uniform_digit,V8,10,180,1,"{""1"": 41, ""2"": 42, ""3"": 39, ""4"": 36, ""5"": 22}",0.0777777777777777,0.2333333333333333,47
llama31-base,meta-llama/Llama-3.1-8B,base,fair_coin,V0,200,199,1,"{""H"": 113, ""T"": 86}",0.0678391959798995,0.5678391959798995,47
