model,hf,kind,task,condition,n,n_valid,parse_fail,counts,tv,p_mode,seed
mistral-base,mistralai/Mistral-7B-v0.3,base,uniform_digit,V0,200,195,5,"{""3"": 54, ""5"": 24, ""2"": 49, ""1"": 24, ""4"": 44}",0.15384615384615385,0.27692307692307694,13
mistral-base,mistralai/Mistral-7B-v0.3,base,fair_coin,V0,200,197,3,"{""H"": 120, ""T"": 77}",0.10913705583756347,0.6091370558375635,13
mistral-base,mistralai/Mistral-7B-v0.3,base,skewed_binary,V0,200,199,1,"{""alpha"": 134, ""beta"": 65}",0.02663316582914571,0.6733668341708543,13
mistral-base,mistralai/Mistral-7B-v0.3,base,bimodal_5way,V0,200,197,3,"{""3"": 29, ""5"": 40, ""2"": 47, ""1"": 45, ""4"": 36}",0.36852791878172586,0.23857868020304568,13
mistral-base,mistralai/Mistral-7B-v0.3,base,skewed_5way,V0,200,197,3,"{""3"": 40, ""5"": 31, ""2"": 54, ""1"": 36, ""4"": 36}",0.31725888324873097,0.27411167512690354,13
mistral-base,mistralai/Mistral-7B-v0.3,base,uniform_digit,V0,200,194,6,"{""4"": 46, ""1"": 32, ""2"": 37, ""3"": 53, ""5"": 26}",0.11030927835051546,0.27319587628865977,47
mistral-base,mistralai/Mistral-7B-v0.3,base,fair_coin,V0,200,196,4,"{""T"": 79, ""H"": 117}",0.0969387755102041,0.5969387755102041,47
mistral-base,mistralai/Mistral-7B-v0.3,base,skewed_binary,V0,200,200,0,"{""alpha"": 142, ""beta"": 58}",0.010000000000000009,0.71,47
mistral-base,mistralai/Mistral-7B-v0.3,base,bimodal_5way,V0,200,196,4,"{""4"": 39, ""1"": 54, ""2"": 32, ""5"": 40, ""3"": 31}",0.32040816326530613,0.2755102040816326,47
mistral-base,mistralai/Mistral-7B-v0.3,base,skewed_5way,V0,200,197,3,"{""4"": 41, ""1"": 44, ""2"": 38, ""5"": 31, ""3"": 43}",0.283756345177665,0.2233502538071066,47
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,uniform_digit,V0,200,197,3,"{""3"": 104, ""2"": 52, ""4"": 41}",0.4,0.5279187817258884,13
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,fair_coin,V0,200,198,2,"{""H"": 166, ""T"": 32}",0.33838383838383834,0.8383838383838383,13
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,skewed_binary,V0,200,199,1,"{""alpha"": 199}",0.30000000000000004,1.0,13
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,bimodal_5way,V0,200,153,47,"{""3"": 93, ""2"": 31, ""4"": 19, ""1"": 4, ""5"": 6}",0.7346405228758169,0.6078431372549019,13
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,skewed_5way,V0,200,99,101,"{""1"": 98, ""2"": 1}",0.4898989898989899,0.98989898989899,13
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,uniform_digit,V0,200,198,2,"{""4"": 39, ""2"": 39, ""3"": 116, ""5"": 2, ""1"": 2}",0.3858585858585859,0.5858585858585859,47
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,fair_coin,V0,200,199,1,"{""H"": 171, ""T"": 28}",0.35929648241206025,0.8592964824120602,47
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,skewed_binary,V0,200,200,0,"{""alpha"": 200}",0.30000000000000004,1.0,47
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,bimodal_5way,V0,200,155,45,"{""4"": 18, ""2"": 17, ""3"": 105, ""1"": 8, ""5"": 7}",0.7032258064516128,0.6774193548387096,47
mistral-instruct,mistralai/Mistral-7B-Instruct-v0.3,instruct,skewed_5way,V0,200,99,101,"{""1"": 98, ""2"": 1}",0.4898989898989899,0.98989898989899,47
