item_key,model,pew_dist,matched_n_valid,tv_matched,matched_ppa_n_valid,tv_matched_ppa
SOCIETY_TRANS_W92,llama31-instruct,"[0.18478260869565216, 0.14535573122529644, 0.2690711462450593, 0.15632411067193677, 0.24446640316205534]",100,0.4692094861660079,100,0.3992094861660079
SOCIETY_RELG_W92,llama31-instruct,"[0.22148711365656168, 0.2519996050162931, 0.32507159079687964, 0.09647477041572035, 0.10496692011454528]",100,0.5135252295842796,100,0.3235252295842796
SOCIETY_GUNS_W92,llama31-instruct,"[0.3616707616707617, 0.1841769041769042, 0.2454054054054054, 0.1142997542997543, 0.09444717444717445]",100,0.3915233415233415,100,0.247076167076167
SOCIETY_SSM_W92,llama31-instruct,"[0.18628706531376218, 0.11368338094768989, 0.33011525958033694, 0.10550684661609694, 0.2644074475421141]",100,0.454493153383903,100,0.4400857058417889
LEGALIMMIGAMT_W92,llama31-instruct,"[0.12687312687312688, 0.12517482517482517, 0.44755244755244755, 0.189010989010989, 0.11138861138861139]",100,0.2658141858141858,100,0.3427272727272727
ETHNCMAJMOD_W41,llama31-instruct,"[0.07188498402555911, 0.15215654952076677, 0.4221246006389776, 0.17492012779552715, 0.17891373801916932]",100,0.6050798722044729,98,0.4829008280628545
INTRMAR_W41,llama31-instruct,"[0.03588516746411483, 0.0773524720893142, 0.3975279106858054, 0.19497607655502391, 0.2942583732057416]",100,0.6050239234449761,100,0.4250239234449761
RACESURV5b_W43,llama31-instruct,"[0.31236673773987206, 0.30414255254340544, 0.22738349070971672, 0.09016143770941212, 0.06594578129759367]",98,0.1998172403289674,90,0.2530273801062714
ECON5_d_W54,llama31-instruct,"[0.5126173708920188, 0.14231220657276994, 0.0710093896713615, 0.1613849765258216, 0.11267605633802817]",100,0.325293427230047,100,0.1966784037558685
ECON5_b_W54,llama31-instruct,"[0.03525264394829612, 0.0572855464159812, 0.17391304347826086, 0.1627497062279671, 0.5707990599294948]",100,0.4147121034077555,100,0.4347121034077556
EAT1_W34,llama31-instruct,"[0.018167456556082148, 0.14533965244865718, 0.30963665086887837, 0.40442338072669826, 0.12243285939968404]",100,0.1235071090047393,99,0.081621906266456
EAT2_W34,llama31-instruct,"[0.0383399209486166, 0.308300395256917, 0.3075098814229249, 0.25612648221343876, 0.08972332015810276]",100,0.2863636363636363,100,0.1280237154150197
PP1_W49,llama31-instruct,"[0.020666979802724285, 0.1592296852982621, 0.23790511977454204, 0.3233912635039925, 0.2588069516204791]",97,0.1499953998053391,99,0.1579557908820473
CAREREL_W27,llama31-instruct,"[0.37827352085354027, 0.2655189136760427, 0.1316682832201746, 0.12390882638215325, 0.10063045586808923]",100,0.3817264791464598,100,0.236207565470417
CARS4_W27,llama31-instruct,"[0.07364341085271318, 0.5985949612403101, 0.21705426356589147, 0.03972868217054264, 0.07097868217054264]",99,0.1540477448907681,100,0.1795736434108527
COHABDUR_W50,llama31-instruct,"[0.15601965601965603, 0.25552825552825553, 0.1941031941031941, 0.19656019656019655, 0.1977886977886978]",99,0.2831012831012831,97,0.2382025887180526
ECON5_a_W54,llama31-instruct,"[0.0919085312225154, 0.23995895631779537, 0.3059220170038112, 0.13910876575784228, 0.22310172969803577]",100,0.5449692172383465,100,0.3030606860158311
