model,item_key,tv_argyle_describe,tv_ppa_describe,tv_ppa_uniform
qwen25-instruct,CAREREL_W27,0.65,0.57,0.65
qwen25-instruct,CARS4_W27,0.51,0.2,0.43
qwen25-instruct,CLASS_W32,0.43,0.28,0.36
qwen25-instruct,COHABDUR_W50,0.51,0.247475,0.226263
qwen25-instruct,COMMYRS_W32,0.57,0.468182,0.418182
qwen25-instruct,EAT1_W34,0.4,0.22,0.33
qwen25-instruct,EAT2_W34,0.7,0.5,0.6
qwen25-instruct,ECON5_a_W54,0.69,0.308586,0.458586
qwen25-instruct,ECON5_b_W54,0.47,0.38,0.25
qwen25-instruct,ECON5_c_W54,0.69,0.45,0.6
qwen25-instruct,ECON5_d_W54,0.6,0.6,0.6
qwen25-instruct,ECON5_e_W54,0.7,0.389394,0.539394
qwen25-instruct,ECON5_f_W54,0.69,0.43,0.58
qwen25-instruct,ECON5_g_W54,0.64,0.24,0.49
qwen25-instruct,ECON5_h_W54,0.64,0.35,0.56
qwen25-instruct,ECON5_j_W54,0.64,0.35,0.6
qwen25-instruct,ETHNCMAJMOD_W41,0.39,0.11,0.28
qwen25-instruct,FAMNEAR_W32,0.556667,0.206667,0.49
qwen25-instruct,GAP21Q15_c_W82,0.77,0.44,0.49
qwen25-instruct,GAP21Q15_e_W82,0.8,0.56,0.42
qwen25-instruct,INDUSTRY_W27,0.21,0.197368,0.168421
qwen25-instruct,INTRMAR_W41,0.35,0.19,0.37
qwen25-instruct,LEGALIMMIGAMT_W92,0.49,0.22,0.23
qwen25-instruct,MADEUPSMCLICK_W45,0.7,0.37,0.47
qwen25-instruct,MARRDUR_W50,0.58,0.49697,0.428283
qwen25-instruct,NEIGHINTERA_W32,0.46,0.47,0.47
qwen25-instruct,NEIGHINTERD_W32,0.62,0.46,0.51
qwen25-instruct,NEIGHSAMEA_W32,0.48,0.5,0.6
qwen25-instruct,NEIGHSAMEB_W32,0.49,0.61,0.71
qwen25-instruct,NEIGHSAMEC_W32,0.66,0.65,0.75
qwen25-instruct,NEWSPREFV2_W45,0.53,0.45,0.55
qwen25-instruct,RACESURV18b_W43,0.44,0.418687,0.468687
qwen25-instruct,RACESURV18c_W43,0.6,0.54,0.59
qwen25-instruct,RACESURV18e_W43,0.4,0.319192,0.367677
qwen25-instruct,RACESURV34d_W43,0.67,0.38,0.45
qwen25-instruct,RACESURV34e_W43,0.49,0.25,0.25
qwen25-instruct,RACESURV40_W43,0.76,0.4,0.5
qwen25-instruct,RACESURV41_W43,0.55,0.149495,0.377778
qwen25-instruct,RACESURV44_W43,0.497273,0.243541,0.263158
qwen25-instruct,RACESURV45_W43,0.55,0.36,0.41
qwen25-instruct,RACESURV47a_W43,0.6,0.569072,0.769072
qwen25-instruct,RACESURV47e_W43,0.49,0.26,0.36
qwen25-instruct,RACESURV47f_W43,0.6,0.6,0.789583
qwen25-instruct,RACESURV5b_W43,0.93,0.77,0.57
qwen25-instruct,RACESURV9_W43,0.66,0.35,0.45
qwen25-instruct,RESTRICTWHO_W45,0.37,0.25,0.35
qwen25-instruct,ROMRELDUR_W50,0.6,0.4,0.387234
qwen25-instruct,SMSHARE_W45,0.5,0.45,0.55
qwen25-instruct,SOCIETY_GUNS_W92,0.55,0.45,0.5
qwen25-instruct,SOCIETY_JBCLL_W92,0.66,0.43,0.4
qwen25-instruct,SOCIETY_RELG_W92,0.78,0.34,0.33
qwen25-instruct,SOCIETY_RHIST_W92,0.77,0.5,0.4
qwen25-instruct,SOCIETY_SSM_W92,0.42,0.3,0.33
qwen25-instruct,SOCIETY_TRANS_W92,0.46,0.32,0.34
qwen25-instruct,SOCIETY_WHT_W92,0.52,0.37,0.23
qwen25-instruct,TRACKCO1a_W49,0.46,0.63,0.68
qwen25-instruct,TRACKGOV1a_W49,0.63,0.35,0.45
qwen25-instruct,TRACKGOV1b_W49,0.58,0.44,0.49
qwen25-instruct,USMILSIZ_W92,0.41,0.16,0.31
qwen25-instruct,WORRY2a_W54,0.556667,0.236667,0.44
qwen25-instruct,WORRY2b_W54,0.298889,0.237778,0.4
qwen25-instruct,WORRY2c_W54,0.17,0.134536,0.208247
qwen25-instruct,WORRY2d_W54,0.48,0.308889,0.35
qwen25-instruct,WORRY2e_W54,0.54,0.16,0.31
qwen3-8b,AGEMAJ_W41,0.4,0.21,0.3
qwen3-8b,CAREREL_W27,0.33,0.31,0.55
qwen3-8b,CARS4_W27,0.62,0.31,0.45
qwen3-8b,CLASS_W32,0.24,0.17,0.37
qwen3-8b,COHABDUR_W50,0.51,0.39,0.2
qwen3-8b,COMMYRS_W32,0.43,0.33,0.35
qwen3-8b,EAT1_W34,0.48,0.42,0.47
qwen3-8b,EAT2_W34,0.55,0.39,0.44
qwen3-8b,ECON5_a_W54,0.63,0.33,0.27
qwen3-8b,ECON5_b_W54,0.64,0.36,0.31
qwen3-8b,ECON5_c_W54,0.69,0.37,0.42
qwen3-8b,ECON5_d_W54,0.38,0.22,0.37
qwen3-8b,ECON5_e_W54,0.69,0.35,0.3
qwen3-8b,ECON5_f_W54,0.68,0.34,0.39
qwen3-8b,ECON5_g_W54,0.56,0.34,0.29
qwen3-8b,ECON5_h_W54,0.55,0.43,0.48
qwen3-8b,ECON5_i_W54,0.55,0.4,0.45
qwen3-8b,ECON5_j_W54,0.55,0.43,0.48
qwen3-8b,ECON5_k_W54,0.45,0.24,0.21
qwen3-8b,ETHNCMAJMOD_W41,0.53,0.17,0.18
qwen3-8b,FAMNEAR_W32,0.68,0.31,0.41
qwen3-8b,FAMSURV17_W50,0.25,0.19,0.27
qwen3-8b,GAP21Q15_a_W82,0.86,0.59,0.49
qwen3-8b,GAP21Q15_b_W82,0.24,0.37,0.37
qwen3-8b,GAP21Q15_c_W82,0.64,0.52,0.47
qwen3-8b,GAP21Q15_d_W82,0.68,0.28,0.33
qwen3-8b,GAP21Q15_e_W82,0.45,0.29,0.34
qwen3-8b,GAP21Q15_f_W82,0.42,0.26,0.25
qwen3-8b,IMPREASONGUN_W26,0.42,0.22,0.46
qwen3-8b,INDUSTRY_W27,0.346667,0.166667,0.1
qwen3-8b,INTRMAR_W41,0.39,0.23,0.29
qwen3-8b,LEGALIMMIGAMT_W92,0.4,0.15,0.26
qwen3-8b,MADEUPSMCLICK_W45,0.47,0.23,0.38
qwen3-8b,MARRDUR_W50,0.48,0.29,0.29
qwen3-8b,NEIGHINTERA_W32,0.58,0.23,0.38
qwen3-8b,NEIGHINTERB_W32,0.58,0.3,0.3
qwen3-8b,NEIGHINTERC_W32,0.6,0.22,0.32
qwen3-8b,NEIGHINTERD_W32,0.67,0.38,0.43
qwen3-8b,NEIGHSAMEA_W32,0.24,0.31,0.44
qwen3-8b,NEIGHSAMEB_W32,0.36,0.22,0.4
qwen3-8b,NEIGHSAMEC_W32,0.25,0.25,0.46
qwen3-8b,NEWSPREFV2_W45,0.28,0.27,0.32
qwen3-8b,ORIENTATIONMOD_W50,0.3,0.22,0.34
qwen3-8b,PP1_W49,0.74,0.41,0.24
qwen3-8b,PWMAN2_W49,0.55,0.25,0.2
qwen3-8b,RACESURV18a_W43,0.65,0.38,0.53
qwen3-8b,RACESURV18b_W43,0.6,0.38,0.58
qwen3-8b,RACESURV18c_W43,0.65,0.42,0.56
qwen3-8b,RACESURV18d_W43,0.4,0.19,0.39
qwen3-8b,RACESURV18e_W43,0.59,0.34,0.39
qwen3-8b,RACESURV18f_W43,0.58,0.28,0.38
qwen3-8b,RACESURV2_W43,0.54,0.27,0.42
qwen3-8b,RACESURV34a_W43,0.36,0.13,0.1
qwen3-8b,RACESURV34b_W43,0.48,0.16,0.17
qwen3-8b,RACESURV34c_W43,0.37,0.22,0.12
qwen3-8b,RACESURV34d_W43,0.39,0.26,0.41
qwen3-8b,RACESURV34e_W43,0.44,0.18,0.18
qwen3-8b,RACESURV40_W43,0.68,0.32,0.42
qwen3-8b,RACESURV41_W43,0.66,0.19,0.34
qwen3-8b,RACESURV44_W43,0.46,0.23,0.38
qwen3-8b,RACESURV45_W43,0.66,0.18,0.38
qwen3-8b,RACESURV47a_W43,0.45,0.35,0.55
qwen3-8b,RACESURV47b_W43,0.28,0.34,0.54
qwen3-8b,RACESURV47c_W43,0.56,0.34,0.54
qwen3-8b,RACESURV47d_W43,0.6,0.18,0.33
qwen3-8b,RACESURV47e_W43,0.64,0.33,0.48
qwen3-8b,RACESURV47f_W43,0.64,0.38,0.48
qwen3-8b,RACESURV5a_W43,0.25,0.2,0.2
qwen3-8b,RACESURV5b_W43,0.65,0.36,0.56
