statistic,observed,boot_median,ci_lo,ci_hi,frac_wilcoxon_p_lt_05
mean_baseline_tv,0.45898361058701725,0.459454456040307,0.42899913860927785,0.4925560854537522,
mean_ppa_tv,0.36128418817331354,0.3611437479938727,0.3347997325944338,0.3879464939738805,
mean_describe_tv,0.21543886886021824,0.21599062304826197,0.1968965458299711,0.23283516487520273,
mean_vs_tv,0.22826124387613622,0.2284937224317365,0.21049932418313302,0.2456055607092539,
ratio_baseline/describe,2.1304586912068153,2.131104791049105,1.9164757463435167,2.3755345127847387,
ppa_δ_vs_baseline,-0.09769942241370382,-0.09798178955044398,-0.12447514604284048,-0.07131989333213368,
delta_FACTS_HI_ENT,-0.1042176047147715,-0.10474146864312148,-0.15880046600659015,-0.043874154982433355,0.96
delta_FACTS_LO_ENT,-0.1553984422988309,-0.1560644930127853,-0.22148796326070747,-0.08746802786182427,0.988
delta_VALUES_HI_ENT,-0.056297817848195424,-0.05750498507859462,-0.09437630472816054,-0.019153566865496442,0.843
delta_VALUES_LO_ENT,-0.09252080541816446,-0.09270664860266312,-0.14381095450586565,-0.047804264252703635,0.997
